split,model,calibrated,coverage,n,prevalence,brier,ece,auroc,auprc
species_heldout_mouse,kmer_metadata_logreg,True,0.2,265.0,0.04905660377358491,0.04655670966128658,0.01637203829021855,0.6202686202686203,0.1632571388674898
family_heldout_zinc_finger,gc_artifact_logreg,False,1.0,1500.0,0.19133333333333333,0.20693808283467485,0.2706488342763521,0.751757240808776,0.5396794547706601
family_heldout_zinc_finger,gc_artifact_logreg,False,0.8,1200.0,0.2075,0.19468177159870467,0.24512956092750937,0.7882613524550357,0.5907193721329194
family_heldout_zinc_finger,gc_artifact_logreg,False,0.6,900.0,0.22666666666666666,0.1748592785131813,0.21575746451194078,0.8259839136804148,0.6531977125847235
family_heldout_zinc_finger,gc_artifact_logreg,False,0.4,600.0,0.25833333333333336,0.1502612041495793,0.180086670687248,0.8626023921710765,0.7279179754788176
family_heldout_zinc_finger,gc_artifact_logreg,False,0.2,300.0,0.29,0.12740908470805012,0.1561437384509542,0.8975500512654472,0.8292491704941432
family_heldout_zinc_finger,gc_artifact_logreg,True,1.0,1500.0,0.19133333333333333,0.12859698898109648,0.06313893080117478,0.751757240808776,0.5396794547706601
family_heldout_zinc_finger,gc_artifact_logreg,True,0.8,1200.0,0.11333333333333333,0.103713538719417,0.04525736620490151,0.5831075851393188,0.16435011279655434
family_heldout_zinc_finger,gc_artifact_logreg,True,0.6,900.0,0.11222222222222222,0.09798817001979129,0.005739577393790677,0.6253980842389621,0.15338791893808137
family_heldout_zinc_finger,gc_artifact_logreg,True,0.4,600.0,0.08666666666666667,0.07833643648594481,0.0030931160062190213,0.612208731049972,0.13162966879974286
family_heldout_zinc_finger,gc_artifact_logreg,True,0.2,300.0,0.06,0.056414637602379566,0.010255013032189671,0.5497438928289993,0.08574564633352508
family_heldout_zinc_finger,kmer_logreg,False,1.0,1500.0,0.19133333333333333,0.22944221556781588,0.21187094926286576,0.688577001186335,0.34394081308570135
family_heldout_zinc_finger,kmer_logreg,False,0.8,1200.0,0.17916666666666667,0.223065422286966,0.20514781054223646,0.7005076142131978,0.35213472090409786
family_heldout_zinc_finger,kmer_logreg,False,0.6,900.0,0.1688888888888889,0.19876621173825312,0.19072958593245548,0.7086265128060794,0.3610985086052254
family_heldout_zinc_finger,kmer_logreg,False,0.4,600.0,0.14833333333333334,0.166433838730575,0.16360695127023686,0.6966731898238747,0.3513576388132653
family_heldout_zinc_finger,kmer_logreg,False,0.2,300.0,0.11666666666666667,0.1298203171735502,0.12924437760834423,0.647978436657682,0.3033992803937734
family_heldout_zinc_finger,kmer_logreg,True,1.0,1500.0,0.19133333333333333,0.14419508072327825,0.017240403352695687,0.688577001186335,0.34394081308570135
family_heldout_zinc_finger,kmer_logreg,True,0.8,1200.0,0.15083333333333335,0.12324495258731612,0.01343553410250087,0.6467124631992149,0.25669462874094895
family_heldout_zinc_finger,kmer_logreg,True,0.6,900.0,0.11666666666666667,0.10232622583097889,0.011780001477510805,0.5860916442048517,0.15830970071608835
family_heldout_zinc_finger,kmer_logreg,True,0.4,600.0,0.09666666666666666,0.08773561129508822,0.012473458231363881,0.5316516096195445,0.10720877410134734
